,image_id,tp,fp,fn,precision,recall
419,026508,14,1,22,0.933,0.389
420,034833,1,0,7,1.0,0.125
421,016871,18,1,13,0.947,0.581
422,004901,14,0,24,1.0,0.368
423,024073,10,0,20,1.0,0.333
424,000262,9,0,11,1.0,0.45
425,041248,8,0,23,1.0,0.258
426,040963,19,2,21,0.905,0.475
427,004904,2,0,18,1.0,0.1
428,030671,7,0,21,1.0,0.25
429,046521,5,0,10,1.0,0.333
430,010747,3,0,2,1.0,0.6
431,022090,15,1,12,0.937,0.556
432,043096,8,0,12,1.0,0.4
433,041468,4,1,4,0.8,0.5
434,034368,1,0,8,1.0,0.111
435,037604,2,0,0,1.0,1.0
436,030374,11,0,25,1.0,0.306
437,038792,4,0,6,1.0,0.4
438,035998,13,0,15,1.0,0.464
439,002280,8,0,10,1.0,0.444
440,032726,4,0,8,1.0,0.333
441,040090,10,0,16,1.0,0.385
442,027470,6,0,14,1.0,0.3
443,034817,3,0,22,1.0,0.12
444,044898,7,0,5,1.0,0.583
445,042232,0,2,18,0.0,0.0
446,016904,11,0,34,1.0,0.244
447,025153,1,1,10,0.5,0.091
448,049661,11,0,15,1.0,0.423
449,038082,1,0,3,1.0,0.25
450,032770,3,0,9,1.0,0.25
451,037679,11,0,69,1.0,0.137
452,014371,6,1,14,0.857,0.3
453,007592,2,0,6,1.0,0.25
454,009760,5,0,26,1.0,0.161
455,018578,16,1,15,0.941,0.516
456,037501,1,0,5,1.0,0.167
457,020904,12,0,36,1.0,0.25
458,006550,2,0,8,1.0,0.2
459,003425,3,0,20,1.0,0.13
460,033773,4,0,3,1.0,0.571
461,021404,1,1,4,0.5,0.2
462,015196,5,0,10,1.0,0.333
463,016370,7,0,8,1.0,0.467
464,047999,2,0,7,1.0,0.222
465,017072,1,0,0,1.0,1.0
466,007002,10,0,13,1.0,0.435
467,034030,10,1,19,0.909,0.345
468,002320,3,0,26,1.0,0.103
469,021582,5,0,12,1.0,0.294
470,016611,7,0,7,1.0,0.5
471,003839,11,0,20,1.0,0.355
472,019288,2,0,16,1.0,0.111
473,030580,1,0,14,1.0,0.067
474,021736,4,0,21,1.0,0.16
475,026686,8,1,14,0.889,0.364
476,023792,9,0,10,1.0,0.474
477,008603,13,0,9,1.0,0.591
478,033623,2,0,1,1.0,0.667
479,031616,1,0,1,1.0,0.5
480,007187,10,2,5,0.833,0.667
481,030638,1,2,11,0.333,0.083
482,003627,3,0,7,1.0,0.3
483,033188,1,0,2,1.0,0.333
484,049601,6,0,8,1.0,0.429
485,017604,13,2,16,0.867,0.448
486,012365,6,0,13,1.0,0.316
487,046587,7,0,17,1.0,0.292
488,007688,10,0,14,1.0,0.417
489,039014,9,0,10,1.0,0.474
490,044554,10,0,19,1.0,0.345
491,041272,5,0,14,1.0,0.263
492,041619,11,1,18,0.917,0.379
493,034875,6,0,39,1.0,0.133
494,000047,13,0,16,1.0,0.448
495,021359,4,0,37,1.0,0.098
496,002417,14,1,20,0.933,0.412
497,036612,1,3,21,0.25,0.045
498,007670,12,0,13,1.0,0.48
499,010486,7,0,11,1.0,0.389
500,039922,16,1,16,0.941,0.5
501,031238,8,0,34,1.0,0.19
502,006926,7,0,13,1.0,0.35
503,011246,1,0,3,1.0,0.25
504,020169,13,3,18,0.812,0.419
505,031296,3,0,10,1.0,0.231
506,044598,9,0,14,1.0,0.391
507,005830,3,0,4,1.0,0.429
508,015412,10,0,6,1.0,0.625
509,000243,5,0,26,1.0,0.161
510,033259,3,0,10,1.0,0.231
511,009551,1,0,0,1.0,1.0
512,023942,12,1,23,0.923,0.343
513,035055,10,0,10,1.0,0.5
514,021379,1,0,3,1.0,0.25
515,036970,5,1,18,0.833,0.217
516,028186,9,0,23,1.0,0.281
517,044348,5,0,18,1.0,0.217
518,008383,6,1,18,0.857,0.25
519,013723,7,0,15,1.0,0.318
520,030134,4,0,24,1.0,0.143
521,045660,13,0,13,1.0,0.5
522,045999,7,0,10,1.0,0.412
523,048621,8,0,19,1.0,0.296
524,041470,6,0,31,1.0,0.162
525,006787,4,0,1,1.0,0.8
526,003434,4,0,14,1.0,0.222
527,000775,11,0,35,1.0,0.239
528,027668,4,1,13,0.8,0.235
529,001604,10,0,23,1.0,0.303
530,013714,3,0,2,1.0,0.6
531,023740,9,0,15,1.0,0.375
532,028079,11,0,9,1.0,0.55
533,005905,4,2,9,0.667,0.308
534,030001,13,0,16,1.0,0.448
535,010184,4,1,12,0.8,0.25
536,020139,12,0,24,1.0,0.333
537,045036,8,0,12,1.0,0.4
538,016539,5,0,16,1.0,0.238
539,029761,5,2,8,0.714,0.385
540,042858,9,0,19,1.0,0.321
541,041249,11,0,22,1.0,0.333
542,009410,8,0,13,1.0,0.381
543,042105,6,0,19,1.0,0.24
544,003401,5,0,9,1.0,0.357
545,037869,12,0,15,1.0,0.444
546,003601,7,1,33,0.875,0.175
547,021055,3,0,4,1.0,0.429
548,038827,4,1,7,0.8,0.364
549,043184,11,0,13,1.0,0.458
550,028650,2,0,6,1.0,0.25
551,038742,2,2,16,0.5,0.111
552,035470,14,1,22,0.933,0.389
553,026706,15,0,39,1.0,0.278
554,040923,6,0,9,1.0,0.4
555,009993,8,0,22,1.0,0.267
556,003657,9,1,12,0.9,0.429
557,013114,16,0,10,1.0,0.615
558,046868,6,1,13,0.857,0.316
559,040458,9,1,29,0.9,0.237
560,011650,3,1,20,0.75,0.13
561,028424,4,0,24,1.0,0.143
562,002353,9,0,27,1.0,0.25
563,020330,2,0,4,1.0,0.333
564,021692,2,0,8,1.0,0.2
565,013696,5,0,2,1.0,0.714
566,037710,7,1,12,0.875,0.368
567,046578,4,1,7,0.8,0.364
568,045564,8,0,12,1.0,0.4
569,019652,16,0,16,1.0,0.5
570,040622,4,0,4,1.0,0.5
571,038130,2,0,4,1.0,0.333
572,018897,1,0,3,1.0,0.25
573,033003,9,2,11,0.818,0.45
574,033663,11,0,17,1.0,0.393
575,005735,4,2,11,0.667,0.267
576,031214,6,0,12,1.0,0.333
577,017911,10,0,19,1.0,0.345
578,015934,6,0,10,1.0,0.375
579,003165,16,0,24,1.0,0.4
580,043921,2,1,4,0.667,0.333
581,006293,6,0,4,1.0,0.6
582,030279,1,1,25,0.5,0.038
583,004913,8,0,21,1.0,0.276
584,046969,7,2,26,0.778,0.212
585,034202,21,0,24,1.0,0.467
586,019601,4,1,11,0.8,0.267
587,048656,6,1,18,0.857,0.25
588,031199,2,0,14,1.0,0.125
589,025373,11,1,17,0.917,0.393
590,032116,13,1,20,0.929,0.394
591,033729,7,0,7,1.0,0.5
592,027494,3,0,4,1.0,0.429
593,031489,2,0,11,1.0,0.154
594,020533,1,1,10,0.5,0.091
595,022137,2,1,10,0.667,0.167
596,047339,2,1,8,0.667,0.2
597,002052,4,0,12,1.0,0.25
598,019550,4,0,12,1.0,0.25
599,033500,17,0,59,1.0,0.224
600,007041,1,1,3,0.5,0.25
601,038294,0,1,1,0.0,0.0
602,005265,6,0,8,1.0,0.429
603,037603,1,0,0,1.0,1.0
604,027281,13,0,24,1.0,0.351
605,045659,7,0,18,1.0,0.28
606,024387,3,0,12,1.0,0.2
607,025926,9,2,16,0.818,0.36
608,039439,5,0,7,1.0,0.417
609,015801,10,1,25,0.909,0.286
610,009458,3,1,6,0.75,0.333
611,030346,16,1,19,0.941,0.457
612,006184,2,0,14,1.0,0.125
613,047281,8,1,20,0.889,0.286
614,015018,13,0,6,1.0,0.684
615,010009,4,0,6,1.0,0.4
616,008469,5,0,5,1.0,0.5
617,045767,29,0,38,1.0,0.433
618,026087,4,0,10,1.0,0.286
619,046277,2,0,6,1.0,0.25
620,036616,3,0,31,1.0,0.088
621,041732,10,0,15,1.0,0.4
622,012546,1,0,0,1.0,1.0
623,005451,7,0,2,1.0,0.778
624,019227,8,1,41,0.889,0.163
625,026985,14,0,14,1.0,0.5
626,033635,6,0,2,1.0,0.75
627,041067,1,1,4,0.5,0.2
628,009780,12,0,16,1.0,0.429
629,014870,8,0,46,1.0,0.148
630,038508,2,0,3,1.0,0.4
631,012194,2,0,5,1.0,0.286
632,014064,4,1,14,0.8,0.222
633,003976,6,1,14,0.857,0.3
634,013730,7,0,8,1.0,0.467
635,019994,15,1,18,0.937,0.455
636,013777,7,0,11,1.0,0.389
637,025407,5,0,5,1.0,0.5
638,015009,7,0,45,1.0,0.135
639,044997,12,1,18,0.923,0.4
640,013961,1,0,1,1.0,0.5
641,019760,9,0,11,1.0,0.45
642,039027,11,0,22,1.0,0.333
643,042088,7,2,15,0.778,0.318
644,032916,9,0,24,1.0,0.273
645,002203,7,0,24,1.0,0.226
646,043053,15,0,31,1.0,0.326
647,031308,3,1,2,0.75,0.6
648,021921,7,1,5,0.875,0.583
649,039271,4,0,11,1.0,0.267
650,022723,14,0,15,1.0,0.483
651,045949,4,0,15,1.0,0.211
652,038656,7,0,16,1.0,0.304
653,030551,4,1,3,0.8,0.571
654,048900,3,0,6,1.0,0.333
655,000773,8,0,33,1.0,0.195
656,004697,5,0,9,1.0,0.357
657,043656,1,0,2,1.0,0.333
658,011703,7,0,26,1.0,0.212
659,016511,9,0,16,1.0,0.36
660,003719,6,0,13,1.0,0.316
661,040518,2,0,10,1.0,0.167
662,016291,6,1,8,0.857,0.429
663,014778,11,0,11,1.0,0.5
664,007831,10,0,17,1.0,0.37
665,015384,6,1,11,0.857,0.353
666,038332,19,0,16,1.0,0.543
667,047775,1,0,2,1.0,0.333
668,023341,0,1,3,0.0,0.0
669,024305,4,0,5,1.0,0.444
670,047349,2,0,3,1.0,0.4
671,049736,3,0,14,1.0,0.176
672,043889,14,0,19,1.0,0.424
673,038559,3,0,5,1.0,0.375
674,030487,3,1,5,0.75,0.375
675,028002,10,0,23,1.0,0.303
676,020125,3,0,18,1.0,0.143
677,022613,4,0,2,1.0,0.667
678,000960,3,0,8,1.0,0.273
679,001471,9,0,43,1.0,0.173
680,035357,2,0,1,1.0,0.667
681,043392,3,0,17,1.0,0.15
682,017637,6,0,17,1.0,0.261
683,015087,10,0,4,1.0,0.714
684,006760,12,0,15,1.0,0.444
685,005565,5,0,20,1.0,0.2
686,013733,17,0,14,1.0,0.548
687,008851,10,2,19,0.833,0.345
688,033414,15,3,13,0.833,0.536
