image_id,tp,fp,fn,tn,precision,recall,accuracy
005415,4,1,12,57,0.8,0.25,0.824
005421,6,1,8,45,0.857,0.429,0.85
005422,2,0,4,32,1.0,0.333,0.895
005441,1,0,11,25,1.0,0.083,0.703
005448,7,5,32,8,0.583,0.179,0.288
005450,1,0,6,36,1.0,0.143,0.86
005473,7,3,19,89,0.7,0.269,0.814
005477,3,0,2,28,1.0,0.6,0.939
005478,10,2,22,68,0.833,0.312,0.765
005484,18,14,43,16,0.562,0.295,0.374
005487,5,1,3,28,0.833,0.625,0.892
005490,6,5,15,77,0.545,0.286,0.806
005502,6,3,11,44,0.667,0.353,0.781
005504,6,3,9,61,0.667,0.4,0.848
005505,1,1,8,57,0.5,0.111,0.866
005508,5,1,6,76,0.833,0.455,0.92
005510,2,1,14,88,0.667,0.125,0.857
005522,7,2,14,64,0.778,0.333,0.816
005547,7,3,24,18,0.7,0.226,0.481
005570,3,2,7,87,0.6,0.3,0.909
005590,2,3,15,30,0.4,0.118,0.64
005599,1,5,13,35,0.167,0.071,0.667
005605,4,2,12,87,0.667,0.25,0.867
005611,4,2,5,61,0.667,0.444,0.903
005637,11,1,13,33,0.917,0.458,0.759
005648,1,1,13,102,0.5,0.071,0.88
005664,4,2,3,71,0.667,0.571,0.938
005668,7,0,4,50,1.0,0.636,0.934
005684,7,3,16,10,0.7,0.304,0.472
005700,5,2,8,21,0.714,0.385,0.722
005726,3,0,2,76,1.0,0.6,0.975
005737,3,3,14,91,0.5,0.176,0.847
005741,13,7,14,14,0.65,0.481,0.562
005757,10,2,3,32,0.833,0.769,0.894
005762,2,2,8,51,0.5,0.2,0.841
005764,6,3,5,41,0.667,0.545,0.855
005769,2,2,4,37,0.5,0.333,0.867
005776,9,1,20,40,0.9,0.31,0.7
005783,6,0,5,50,1.0,0.545,0.918
005787,9,0,6,8,1.0,0.6,0.739
005816,6,3,18,64,0.667,0.25,0.769
005832,5,0,9,72,1.0,0.357,0.895
005888,4,1,5,18,0.8,0.444,0.786
005908,3,1,6,45,0.75,0.333,0.873
005915,0,1,4,13,0.0,0.0,0.722
005918,11,4,13,48,0.733,0.458,0.776
005921,5,2,9,48,0.714,0.357,0.828
005938,8,1,7,46,0.889,0.533,0.871
005945,2,2,6,36,0.5,0.25,0.826
005958,3,0,9,29,1.0,0.25,0.78
005968,3,5,13,35,0.375,0.187,0.679
005977,2,4,10,19,0.333,0.167,0.6
005996,5,5,24,43,0.5,0.172,0.623
006018,5,6,22,16,0.455,0.185,0.429
006028,1,3,10,69,0.25,0.091,0.843
006029,10,2,21,42,0.833,0.323,0.693
006044,1,1,12,39,0.5,0.077,0.755
006062,0,2,1,22,0.0,0.0,0.88
006064,3,5,14,30,0.375,0.176,0.635
006078,2,4,3,69,0.333,0.4,0.91
006081,12,2,7,78,0.857,0.632,0.909
006084,4,0,16,34,1.0,0.2,0.704
006085,4,0,8,47,1.0,0.333,0.864
006124,9,3,29,42,0.75,0.237,0.614
006128,3,2,10,14,0.6,0.231,0.586
006137,15,2,13,61,0.882,0.536,0.835
006142,4,2,16,20,0.667,0.2,0.571
006152,1,0,1,92,1.0,0.5,0.989
006157,5,4,21,64,0.556,0.192,0.734
006165,7,0,12,73,1.0,0.368,0.87
006169,1,0,5,15,1.0,0.167,0.762
006176,4,1,13,32,0.8,0.235,0.72
006177,4,7,23,42,0.364,0.148,0.605
006182,2,3,19,22,0.4,0.095,0.522
006221,5,1,15,30,0.833,0.25,0.686
006222,2,0,5,9,1.0,0.286,0.688
006228,4,2,4,116,0.667,0.5,0.952
006234,3,0,4,46,1.0,0.429,0.925
006235,6,1,2,88,0.857,0.75,0.969
006242,11,2,13,18,0.846,0.458,0.659
006261,5,1,18,49,0.833,0.217,0.74
006272,4,0,3,46,1.0,0.571,0.943
006274,3,0,9,22,1.0,0.25,0.735
006287,6,0,11,27,1.0,0.353,0.75
006302,0,1,7,30,0.0,0.0,0.789
006305,5,2,12,61,0.714,0.294,0.825
006351,9,1,10,37,0.9,0.474,0.807
006356,12,4,23,16,0.75,0.343,0.509
006382,8,2,15,53,0.8,0.348,0.782
006396,3,0,20,62,1.0,0.13,0.765
006398,8,3,43,29,0.727,0.157,0.446
006406,21,5,25,16,0.808,0.457,0.552
006414,8,3,10,70,0.727,0.444,0.857
006427,7,1,26,10,0.875,0.212,0.386
006430,4,1,12,41,0.8,0.25,0.776
006434,4,1,13,82,0.8,0.235,0.86
006441,8,0,2,28,1.0,0.8,0.947
006471,8,1,11,26,0.889,0.421,0.739
006481,6,4,9,26,0.6,0.4,0.711
